id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
10246,5.0,120.0,2693.0,75.0,6506.4,0.0,0.0,13.1772898,0.46929999999999994,77.8361,30.571501899999998,89.0,0.0,64.0,1001.4,24.7,64499.0,61512.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,9,1.7.0-twitch.1-rc.1
10247,7.0,120.0,234.0,43.0,1384.4545454545455,0.0,0.0,23.74162154545455,0.45809090909090905,120.60036363636364,52.35479336363637,62.0,0.0,64.0,789.6363636363636,35.18181818181818,64240.0,62623.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,1,3,104,7,1.7.0-twitch.1-rc.1
10248,9.0,120.0,636.0,55.0,1745.9166666666667,0.0,0.0,15.0555805,0.4141666666666666,85.913,34.866958583333336,77.0,0.0,64.0,845.3333333333334,25.166666666666668,64455.833333333336,58441.916666666664,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,7,1.7.0-twitch.1-rc.1
10249,11.0,120.0,480.0,47.0,1870.0,0.0,0.0,19.9010441,0.4058,104.96600000000001,44.5914298,64.0,0.0,64.0,825.6,35.6,64369.5,61755.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,53,6,1.7.0-twitch.1-rc.1
10250,14.0,120.0,772.0,123.0,10958.25,0.0,0.0,23.079243166666668,0.4435833333333334,119.12458333333335,51.48869225000001,67.0,0.0,64.0,933.3333333333334,34.25,64347.916666666664,61977.083333333336,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,9,1.7.0-twitch.1-rc.1
10251,5.0,120.0,377.0,68.0,3998.6666666666665,0.0,0.0,17.156247,0.39966666666666667,93.27749999999999,38.848054166666664,88.0,0.0,64.0,920.4166666666666,33.666666666666664,64347.916666666664,61442.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,9,1.7.0-twitch.1-rc.1
10252,7.0,120.0,184.0,41.0,1819.909090909091,0.0,0.0,45.502049,24.908454545454546,130.37863636363636,46.15473290909091,56.0,0.0,64.0,831.0,23.727272727272727,64240.0,62220.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,1,1,118,10,1.7.0-twitch.1-rc.1
10253,9.0,120.0,723.0,123.0,9131.92857142857,0.0,0.0,38.26535414285714,19.725285714285715,122.56328571428571,42.759536142857144,146.0,0.0,64.0,895.3571428571429,31.071428571428573,64332.5,62189.642857142855,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,10,1.7.0-twitch.1-rc.1
10254,11.0,120.0,505.0,54.0,1693.75,0.0,0.0,23.65613383333333,0.35725,125.35000000000001,53.213209,75.0,0.0,64.0,782.5833333333334,34.833333333333336,64347.916666666664,61620.083333333336,0.0,0.0,0.0,0.0,0.0,0.0,1,2,121,8,1.7.0-twitch.1-rc.1
10255,14.0,120.0,229.0,48.0,2200.7272727272725,0.0,0.0,23.663227363636363,0.3778181818181818,122.6320909090909,53.04877781818182,64.0,0.0,64.0,883.7272727272727,35.18181818181818,64240.0,62241.454545454544,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,9,1.7.0-twitch.1-rc.1
10256,5.0,120.0,649.0,53.0,1603.1666666666667,0.0,0.0,22.474357666666666,0.4419166666666667,121.2015,51.15675816666666,75.0,0.0,64.0,780.4166666666666,26.333333333333332,64455.833333333336,57431.166666666664,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1,8,1.7.0-twitch.1-rc.1
10257,7.0,120.0,201.0,36.0,1515.2222222222222,0.0,0.0,23.638053111111113,0.3741111111111111,124.71655555555556,53.51528233333333,51.0,0.0,64.0,844.2222222222222,36.888888888888886,64240.0,61943.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,10,1.7.0-twitch.1-rc.1
10258,9.0,120.0,761.0,49.0,1675.090909090909,0.0,0.0,21.644348,0.4610909090909091,113.92472727272728,48.46961436363636,69.0,0.0,64.0,798.3636363636364,25.90909090909091,64475.454545454544,55910.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,10,1.7.0-twitch.1-rc.1
10259,11.0,120.0,166.0,37.0,1199.4545454545455,0.0,0.0,39.57518181818182,0.4627272727272727,164.92145454545454,62.810903,56.0,0.0,64.0,738.0909090909091,33.0,64240.0,62725.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,8,1.7.0-twitch.1-rc.1
10260,14.0,120.0,469.0,56.0,1567.923076923077,0.0,0.0,24.617142846153847,0.46799999999999997,133.84276923076922,55.86962330769231,79.0,0.0,64.0,760.3846153846154,34.0,64439.230769230766,58412.61538461538,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
10261,5.0,120.0,376.0,84.0,3892.875,0.0,0.0,27.162340125,17.0856875,77.0406875,23.959742625,110.0,0.0,64.0,1071.8125,26.4375,64320.9375,61622.4375,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1,8,1.7.0-twitch.1-rc.1
10262,7.0,120.0,1250.0,163.0,7591.8,0.0,0.0,16.5368447,0.48875,91.31710000000001,37.7202605,126.0,0.0,64.0,1025.45,30.15,64499.0,59700.25,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,8,1.7.0-twitch.1-rc.1
10263,9.0,120.0,424.0,74.0,6738.7,0.0,0.0,18.7386524,0.4462,98.7167,41.598438800000004,89.0,0.0,64.0,910.4,35.6,64369.5,62027.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,9,1.7.0-twitch.1-rc.1
10264,11.0,120.0,1081.0,147.0,9019.375,0.0,0.0,18.214299,0.44606250000000003,95.9515625,40.812548375,98.0,0.0,64.0,955.3125,31.6875,64401.875,61789.1875,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
